id_voto;idservico;titulo_servico;slug_servico;slug_categoria;siglaorgao;nome_orgao;data_voto;avaliacao_voto_servico
2375;236;IPVA ou LICENCIAMENTO - emitir boleto;pagamento-de-ipva-inscrito-em-divida-ativa134;administracao-publica;PGE MS;Procuradoria Geral do Estado de Mato Grosso do Sul;2026-02-26 18:45:00.068719+00:00;2
2374;1136;Solicitar Processo Primeira Habilitação (Permissão para Dirigir-PpD);solicitar-processo-primeira-habilitacao-permissao-para-dirigir-ppd42;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-02-26 15:41:40.417579+00:00;3
2373;125;Solicitar carteira de identidade;expedicao-de-carteira-de-identidade127;direitos-e-cidadania;CGP;Coordenadoria Geral de Perícias de Mato Grosso do Sul;2026-02-26 01:50:55.382319+00:00;3
2372;236;IPVA ou LICENCIAMENTO - emitir boleto;pagamento-de-ipva-inscrito-em-divida-ativa134;administracao-publica;PGE MS;Procuradoria Geral do Estado de Mato Grosso do Sul;2026-02-25 23:26:47.050188+00:00;2
2371;656;Solicitar serviço de imagem e diagnóstico;servico-de-imagem-e-diagnostico28;saude-e-cuidado;FUNSAU;Fundação Serviços de Saúde de MS;2026-02-25 19:42:15.213822+00:00;1
2370;719;Solicitar mudança de placas para o novo padrão Mercosul;solicitacao-de-atualizacao-de-placas-para-o-novo-padrao-de-identificacao-veicular-piv84;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-02-25 16:46:07.256072+00:00;3
2369;729;Solicitar Agendamento de Exame/Reexame Teórico Técnico;solicitacao-de-aplicacao-de-exames-de-habilitacao-teorico-e-pratico143;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-02-25 14:50:42.410551+00:00;1
2368;1127;Solicitar orientação Procon/MS;solicitar-orientacao-proconms36;direitos-e-cidadania;SEAD;Secretaria de Estado de Assistência Social e Direitos Humanos;2026-02-25 14:08:40.814869+00:00;5
2367;1029;e-Fazenda - cadastro;portal-e-fazenda-cadastro135;financas-e-impostos;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;2026-02-25 04:30:11.579161+00:00;1
2366;236;IPVA ou LICENCIAMENTO - emitir boleto;pagamento-de-ipva-inscrito-em-divida-ativa134;administracao-publica;PGE MS;Procuradoria Geral do Estado de Mato Grosso do Sul;2026-02-25 00:24:16.631149+00:00;4
2365;1316;Nota fiscal fatura de serviços de comunicação eletrônica (NFCom) - credenciamento voluntário;nota-fiscal-fatura-de-servicos-de-comunicacao-nfcom-credenciamento-voluntario185;financas-e-impostos;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;2026-02-24 17:50:24.212084+00:00;2
2364;135;Emitir certidão de antecedentes criminais;expedicao-de-certidao-de-antecedentes-criminais35;seguranca;CGP;Coordenadoria Geral de Perícias de Mato Grosso do Sul;2026-02-24 14:41:23.986041+00:00;5
2363;135;Emitir certidão de antecedentes criminais;expedicao-de-certidao-de-antecedentes-criminais35;seguranca;CGP;Coordenadoria Geral de Perícias de Mato Grosso do Sul;2026-02-24 14:39:15.662583+00:00;4
2362;722;Atualizar endereço do veículo;solicitacao-de-atualizacao-de-endereco-do-condutor117;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-02-24 04:54:40.849565+00:00;3
2361;1132;Solicitar Agendamento de Exame/Reexame Teórico Técnico Condutor Infrator;solicitar-agendamento-de-examereexame-teorico-tecnico-condutor-infrator182;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-02-23 21:43:21.563452+00:00;3
2360;751;Emitir certidões de veículos;emissao-de-certidoes-solicitadas-pelos-condutores36;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-02-23 19:14:26.449437+00:00;1
2359;273;Obter descontos em instituições de ensino parceiras;identificar-as-instituicoes-de-ensino-que-oferecem-descontos-e-gerar-documentos-para-uso38;educacao-e-pesquisa;ESCOLAGOV;Fundação Escola de Governo;2026-02-23 18:33:12.041519+00:00;5
2358;406;Solicitar o programa das escolas cívico-militares;oferta-do-programa-da-escola-civico-militar103;educacao-e-pesquisa;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;2026-02-23 17:55:35.270196+00:00;2
2357;1099;Participar do Programa CNH MS Social;participar-do-programa-cnh-ms-social138;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-02-23 16:33:27.692754+00:00;4
2356;82;Acessar os cursos por quem já é graduado;911-secretaria-academica-da-graduacao-portador-de-diploma31;educacao-e-pesquisa;UEMS;Universidade Estadual de Mato Grosso do Sul;2026-02-23 16:17:10.213052+00:00;5
2355;249;Solicitar capacitação para conselheiros tutelares e municipais dos direitos da criança e do adolescente;solicitacao-de-apoio-para-conselheiros-tutelares-e-municipais-dos-direitos-da-crianca-e-do-adolescente149;direitos-e-cidadania;SEAD;Secretaria de Estado de Assistência Social e Direitos Humanos;2026-02-23 16:16:30.197953+00:00;5
2354;1022;Emitir certificado do ensino médio;emitir-certificado-de-conclusao-do-ensino-medio111;educacao-e-pesquisa;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;2026-02-23 15:28:44.191555+00:00;2
2353;1339;Fazer transferência digital de veículo;fazer-transferencia-digital-de-veiculo196;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-02-23 13:26:38.605372+00:00;5
2352;643;Registrar boletim de ocorrências on-line;delegacia-virtual-devir105;seguranca;PCMS;Polícia Civil de Mato Grosso do Sul;2026-02-22 01:11:45.738449+00:00;3
2351;5;Acessar agência virtual;agencia-virtual22;energia;MSGÁS;Companhia de Gás do Estado de Mato Grosso do Sul;2026-02-21 16:25:55.750982+00:00;4
2350;361;IPVA - alegação/comunicação de venda de veículo;ipva-alegacaocomunicacao-de-venda-de-veiculo53;financas-e-impostos;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;2026-02-21 16:19:52.068114+00:00;1
2349;1339;Fazer transferência digital de veículo;fazer-transferencia-digital-de-veiculo196;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-02-21 11:47:36.496052+00:00;4
2348;786;Solicitar Carteira de Visitante do Sistema Prisional;patronato138;direitos-e-cidadania;AGEPEN;Agência Estadual de Administração do Sistema Penitenciário;2026-02-20 23:59:14.237117+00:00;2
2347;643;Registrar boletim de ocorrências on-line;delegacia-virtual-devir105;seguranca;PCMS;Polícia Civil de Mato Grosso do Sul;2026-02-20 23:03:01.745104+00:00;1
