idservico;titulo_servico;slug_servico;slug_categoria;nome_popular;siglaorgao;nome_orgao;servico_ativo;digital;online;agendavel;acesso_externo;custo;tempo;tipo_tempo;data_criacao_servico;data_atualizacao_servico
405;Atestado de inexistência para fins de diferimento do ICMS diferencial de alíquotas e de importação na aquisição de máquinas e equipamentos industriais - Termo de Acordo;atestado-de-inexistencia-para-fins-de-diferimento-do-icms-diferencial-de-aliquotas-e-de-importacao-na-aquisicao-de-maquinas-e-equipamentos-industriais-termo-de-acordo8;empresa-industria-e-comercio;;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;True;False;False;False;True;Cinco, dez, quinze, vinte ou trinta Uferms, conforme o caso.;;Dias corridos;2023-05-11 18:53:52.618067+00:00;2026-05-12 12:44:15.185871+00:00
22;Atividades relativas à formalização e acompanhamento de convênios, termos e acordo de cooperação;021-proap-atividades-relativas-a-formalizacao-e-acompanhamento-de-convenios-de-termos-e-acordos-de-cooperacao2;educacao-e-pesquisa;;UEMS;Universidade Estadual de Mato Grosso do Sul;False;False;False;False;False;0;;Meses;2023-04-27 20:20:24.495026+00:00;2024-09-05 20:47:27.525348+00:00
98;Atividades teóricas e práticas nas escolas;125-unidade-universitaria-de-ivinhema-atividades-teoricas-e-praticas-nas-escolas85;educacao-e-pesquisa;;UEMS;Universidade Estadual de Mato Grosso do Sul;False;False;False;False;True;0;;Meses;2023-04-28 05:17:38.816982+00:00;2024-09-05 20:47:10.489407+00:00
6;Atualizar cadastro;atualizacao-cadastral70;energia;Atualização cadastral;MSGÁS;Companhia de Gás do Estado de Mato Grosso do Sul;True;False;False;False;True;Sem custo;;Minutos;2023-04-24 14:28:59.243821+00:00;2025-09-04 00:06:11.981075+00:00
1406;Atualizar cadastro de núcleo avícola comercial;atualizacao-cadastral-de-nucleo-avicola-comercial166;agropecuaria-e-vida-rural;Atualização cadastral de núcleo avícola comercial;IAGRO;Agência Estadual de Defesa Sanitária Animal Vegetal  Mato Grosso do Sul;True;False;False;False;False;Sem custo;;Dias úteis;2025-07-08 19:12:57.087706+00:00;2026-04-29 18:26:29.489609+00:00
1157;Atualizar endereço de condutor (CNH/PPD);atualizar-endereco-de-condutora-cnhppd109;transito-e-transportes;Atualizar endereço;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;True;True;False;False;True;Sem custo;;Acesso Imediato;2024-08-09 14:38:01.262840+00:00;2026-03-10 14:38:57.113304+00:00
722;Atualizar endereço do veículo;solicitacao-de-atualizacao-de-endereco-do-condutor117;transito-e-transportes;Alteração de endereço do veículo;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;True;False;False;False;True;Sem custo;;Minutos;2023-05-31 17:48:07.814913+00:00;2026-02-27 18:35:10.124667+00:00
818;Autenticar livro digital;autenticar-livro-digital30;empresa-industria-e-comercio;Livro Digital;JUCEMS;Junta Comercial do Estado de Mato Grosso do Sul;True;True;False;False;True;R$153,00;;Dias úteis;2023-06-16 18:12:49.815623+00:00;2026-05-12 18:58:44.541206+00:00
1236;Autenticidade de validação e veracidade de diploma;autenticidade-de-validacao-e-veracidade-de-diploma52;educacao-e-pesquisa;Solicitar veracidade de diploma;UEMS;Universidade Estadual de Mato Grosso do Sul;True;True;False;False;False;Sem custo;;Dias úteis;2024-09-02 12:09:42.874189+00:00;2025-09-02 18:36:07.471069+00:00
467;Auto de cientificação (ACT) - prorrogação de prazo para pagamento;auto-de-cientificacao-act-prorrogacao-de-prazo-para-pagamento30;financas-e-impostos;;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;True;False;False;False;True;Uma Uferms;;Dias corridos;2023-05-12 17:45:57.138712+00:00;2025-10-28 15:41:19.449967+00:00
